upid,LB_BATCH_mu=1.78_S,GLC_BATCH_mu=0.67_S,LB_BATCH_mu=2.3_S,GLC_BATCH_mu=1.03_S
P38051,0.10,1.11,2.97,2.44
P09980,1.20,0.44,5.17,2.26
P0AD70,2.17,1.28,1.98,2.65
P0ACL5,1.80,2.05,1.66,1.72
P76007,5.93,2.76,4.31,6.18
P33607,3.03,0.27,7.89,6.27
P67624,19.97,24.19,14.48,11.51
P10907,1.89,0.85,1.44,1.11
P02916,4.97,0.67,1.59,0.84
P69506,30.20,3.38,12.27,5.65
P06961,0.91,0.41,1.68,0.91
P76387,56.79,0.68,0.96,1.43
P0CK95,6.11,0.56,4.54,1.28
P62672,1.04,0.01,9.19,7.95
P27128,2.22,2.05,5.73,3.24
P33916,0.69,0.45,1.42,2.12
P77212,0.52,0.58,0.15,0.00
P22707,4.46,1.97,35.34,39.66
P0ACW6,1.01,0.76,0.21,0.02
P37197,5.54,1.51,2.89,1.48
P42632,0.00,1.12,2.59,0.41
P76143,4.69,0.38,0.43,3.03
Q2A0K9,1.71,0.43,1.36,1.34
P75796,0.05,1.15,0.10,2.34
P36930,1.22,0.50,2.72,4.97
P10026,0.36,1.07,40.81,27.29
P0AEL3,37.56,0.02,91.45,0.05
P0AFY6,0.01,0.27,2.28,6.28
P27300,6.77,3.52,6.26,3.30
P0C7L2,28.33,0.77,1.85,1.79
P32669,1.60,0.54,1.10,1.21
P32705,5.98,0.69,2.55,3.72
P0AGF6,0.20,0.66,0.33,2.28
P46474,0.06,0.41,1.80,1.30
P0A772,0.01,0.01,0.01,0.78
P55135,3.50,3.31,10.99,2.29
P10442,65.90,12.02,57.72,26.93
P14294,2.60,0.40,1.31,0.31
P23173,284.38,5.60,4.75,4.73
P19642,8.02,0.44,4.49,1.14
P37339,0.13,0.00,0.00,0.11
P06720,9.04,0.22,0.08,0.00
P24177,0.06,0.00,0.00,1.82
P07363,10.43,5.92,13.71,9.51
P0AGB3,0.27,0.82,1.06,0.22
P76361,0.67,0.82,0.00,0.00
P0AFI5,0.26,0.00,0.56,1.82
P75830,4.40,4.51,3.12,4.77
P76077,1.61,0.01,0.01,0.02
P0AFH0,2.16,0.27,3.00,0.53
P76081,10.22,0.00,0.13,0.10
Q00042,0.04,0.00,4.11,3.81
P76078,58.40,0.01,0.52,0.29
P0AGL2,8.56,0.01,1.54,0.17
P09129,0.58,0.01,17.88,20.54
P0ABY7,31.16,9.15,60.72,12.94
P33015,0.01,0.85,0.01,0.01
P64599,0.02,0.01,0.81,0.21
P63340,7.36,0.01,4.88,0.12
P52613,13.57,8.16,9.65,12.95
P0AF26,13.26,0.01,1.71,0.72
P08555,9.38,0.01,76.71,0.01
P06615,0.01,0.01,5.63,6.16
P03856,0.01,0.00,2.09,1.39
P52073,1.21,0.00,0.01,0.00
P0A6X1,0.97,0.91,12.00,0.67
P77148,0.00,0.00,0.00,0.00
P37047,0.98,0.07,0.07,1.50
Q46802,4.79,0.00,1.70,0.00
P77455,4.69,0.17,0.16,0.15
