upid,LB_BATCH_mu=1.78_S,GLC_BATCH_mu=0.67_S,LB_BATCH_mu=2.3_S,GLC_BATCH_mu=1.03_S
P0ACC3,4071.71,3626.07,4862.72,4203.09
P0A6R3,6333.58,3219.83,12406.57,4499.99
P0A9X9,4966.85,1853.83,5815.96,1998.08
P0ADN6,2755.67,2324.84,1975.95,1915.34
P77330,4270.96,3552.11,21239.56,17849.37
P0AF90,1468.33,2194.93,1708.55,2038.38
P37128,4465.30,2569.64,6057.87,2915.95
P0AG99,3344.10,2170.94,3738.95,2554.73
P77695,2895.27,2007.08,2767.92,3119.77
P0AAZ7,520.25,1661.03,1697.45,1520.12
P0AAN9,1580.88,1118.95,381.99,584.00
P0AE48,1735.52,1273.70,2592.86,1843.99
P0AFW8,1224.73,926.14,1038.72,831.10
P0A742,705.84,680.03,918.52,510.46
P30748,1074.76,1026.60,1181.20,1037.60
P0A8C4,1779.91,1167.97,1391.85,875.73
P0AC19,1042.09,848.96,1213.61,977.49
P0ADK8,1134.81,1078.60,814.81,777.30
P75818,442.90,360.96,210.97,232.16
P0A8K5,566.40,506.39,578.48,380.20
P0ADS2,1088.27,619.98,1235.84,743.71
P37903,1087.29,306.37,445.10,490.08
P63417,938.33,461.60,946.82,532.64
P28248,581.40,489.05,608.09,547.72
P31547,171.62,354.57,445.09,1879.84
P0AFZ1,544.24,409.14,652.16,485.39
P23857,6603.64,489.97,2431.95,587.31
P76170,594.62,487.72,686.41,492.13
P0AD24,712.74,307.42,630.71,343.76
P64499,411.81,479.18,612.03,622.08
P06960,21.21,407.76,21.11,17.31
P0AFW4,946.09,237.10,897.90,462.82
P0AAT6,715.58,330.29,971.87,528.95
P0AAP3,380.55,245.14,863.75,390.81
P0A9D4,337.57,261.78,318.67,448.04
P0AFC3,789.45,248.27,1635.27,582.28
P37774,102.38,338.55,142.35,436.94
P69423,618.98,315.43,694.50,484.15
P64602,432.55,158.03,246.03,240.55
P76537,168.93,189.29,173.90,274.49
P0AAN5,29.82,61.49,52.34,66.23
P43533,1254.40,1213.30,1532.31,1416.90
P0A7Y8,373.62,165.47,372.62,240.28
Q46871,101.23,162.19,138.57,159.38
P15993,24.16,144.15,19.35,323.58
P18196,130.54,139.20,167.25,167.53
P0A8B2,230.89,142.63,214.31,172.36
P37757,104.64,122.41,80.36,164.08
P0A840,226.80,99.88,243.39,179.62
P0A9H5,951.90,214.68,412.42,417.15
P23917,119.63,89.38,116.23,108.16
P23331,203.07,112.29,202.57,129.49
P0AFB1,126.96,123.95,145.25,153.60
P77279,219.45,87.46,225.48,95.21
P66817,160.27,92.94,191.84,118.02
P28861,68.90,101.34,91.97,99.17
P76445,248.62,92.07,609.83,192.88
P0AF52,11.03,71.68,23.66,130.52
P77171,253.34,127.86,114.78,173.94
P75792,57.34,97.14,93.57,111.88
Q47690,37.47,92.49,12.81,136.99
P0AAE0,48.09,63.18,61.94,190.41
P21362,7.87,15.66,1.51,2.90
P77781,37.63,154.12,33.84,192.28
P33355,125.24,99.64,221.69,111.81
P0AA82,7.48,107.85,9.18,32.73
P0A9N4,154.87,88.38,189.76,140.13
P0ADR6,93.91,76.42,120.75,135.77
P0AB10,80.46,79.64,167.10,92.66
P0A9T6,86.88,128.10,78.60,142.33
P0A8Y3,210.54,60.24,126.19,47.90
P77285,141.76,97.12,172.64,124.37
P18390,123.58,85.33,142.62,92.66
P0AC44,304.32,110.21,403.36,254.64
P0AGG0,113.40,66.25,115.58,100.66
P0A809,175.68,79.53,274.13,108.20
P22729,0.71,84.11,2.68,183.35
P26602,181.36,94.16,161.31,89.00
P76507,100.91,62.29,131.88,203.95
P0AEW4,115.73,91.15,134.44,129.02
P09549,116.79,89.78,177.87,102.83
P0A7H6,178.61,64.40,260.28,171.56
P27833,120.11,62.32,159.63,99.26
P77806,21.29,64.46,21.33,33.95
P76008,41.22,74.90,39.79,58.57
P0ACL9,105.35,53.02,94.05,67.99
P36562,44.30,70.92,30.77,83.67
P16384,44.66,37.45,80.99,77.19
P76256,106.68,42.50,120.63,49.29
P25539,61.39,47.72,77.60,54.83
P41052,30.91,28.71,10.11,8.24
P0AF98,60.18,39.04,128.00,79.48
P32157,30.00,37.66,31.47,31.75
P21338,59.24,49.35,67.82,50.16
P0AEW9,134.86,47.85,109.45,45.40
P75728,55.83,46.50,33.33,45.42
P39830,75.83,41.68,111.77,67.32
P30863,82.72,47.25,50.18,52.82
P26648,49.78,40.63,75.94,69.26
P13458,30.80,62.65,36.47,82.94
P0AFP4,80.37,48.29,73.44,64.64
P0AAG3,15.38,51.62,67.23,202.00
P0A6I6,47.25,40.27,61.26,54.86
P0ADV9,66.79,51.86,84.52,61.03
P37615,31.27,39.20,40.46,45.63
P05041,23.63,29.65,61.73,64.29
P0A9H7,48.00,39.68,54.79,38.77
P68206,63.42,56.07,49.75,40.47
P60472,73.65,36.43,54.97,32.58
P42620,18.35,18.07,23.57,24.70
P77376,26.72,53.76,13.38,43.11
P25742,136.64,43.54,230.01,89.72
P0AC51,168.39,89.79,85.68,25.78
P76035,3.75,27.44,5.75,34.98
P0AAC4,28.39,29.66,35.24,20.15
P0AEB0,0.34,23.56,0.10,53.35
P15977,31.46,29.12,4.27,6.90
P32099,40.26,17.45,46.56,28.32
P0ABK2,112.62,20.21,141.01,34.57
P0AGC3,6.62,14.31,4.17,14.43
P68187,78.06,24.82,15.97,7.83
P0ADC3,33.15,30.69,48.74,52.21
P0A7C6,240.11,25.38,94.61,48.68
P75791,13.57,17.14,16.44,17.07
P0AEE3,30.52,48.62,52.42,81.73
P31473,18.71,11.77,26.35,25.35
P03018,48.70,20.48,58.83,33.22
P77569,116.79,14.65,29.19,34.16
P64610,58.97,12.08,190.56,38.91
P77721,51.12,9.63,52.49,32.60
B8LFD5,23.55,16.20,22.46,21.98
P0A6B4,30.61,22.41,51.01,38.29
P13482,8.32,13.71,6.26,7.54
P0AEH1,26.55,12.29,42.39,24.51
P22586,289.42,190.53,273.60,251.79
P06709,28.74,15.20,36.14,22.68
P13039,0.60,9.31,1.34,21.86
P0AED9,14.20,14.87,18.88,19.69
P25535,19.42,10.48,32.27,16.26
P28249,15.02,13.15,31.56,25.98
P0AGL5,181.34,32.07,261.05,58.91
P09348,265.07,131.03,352.92,293.19
P15877,6.73,2.81,14.90,7.99
P0AD27,10.44,4.33,15.65,22.30
P16528,7.12,6.78,56.83,45.11
P0AER0,1169.25,40.46,102.03,5.87
P77252,45.47,1.47,19.45,4.58
P41036,44.61,3.65,74.70,7.87
P36672,179.93,3.30,137.75,5.38
P0A6A0,7.51,3.23,38.93,20.25
P03024,7.21,8.58,11.40,9.87
P77609,142.29,38.96,131.41,80.14
P09833,68.12,22.94,109.93,70.73
P39285,3.48,1.10,3.46,4.59
P75938,113.39,34.71,111.51,47.76
P76085,113.14,2.15,7.88,2.34
P63883,9.71,2.66,18.81,7.01
P39353,17.52,0.59,31.97,3.41
P76440,20.69,0.45,1.01,0.77
P52074,15.24,0.26,0.54,0.43
P77318,65.37,0.58,21.46,1.12
P0ACL7,11.70,0.08,17.15,0.15
P09152,2.99,0.27,3.89,0.18
P0A7P5,28434.19,12682.19,41516.92,18911.71
P0AEH5,676.31,1850.88,212.62,731.45
P03817,3992.14,4376.80,3712.94,3011.08
P68191,502.60,1332.35,104.75,276.25
P06968,3694.04,2855.25,4448.91,2464.24
P38521,2338.17,1447.14,2596.10,1450.31
Q2M7R5,454.03,649.68,604.91,620.51
P0C037,988.86,996.96,533.95,962.92
P0AB55,535.41,1046.63,565.32,979.57
P0AD33,3139.79,1318.89,2548.46,1443.78
P65292,100.15,331.74,77.07,98.35
P0A731,1979.88,824.56,866.16,616.50
P0A8G9,1233.99,835.18,960.01,660.65
P0AF70,1190.32,1027.58,695.54,718.94
P69411,720.10,615.84,884.21,628.44
P0A6T9,2044.88,606.71,758.14,732.01
P68699,1152.09,450.46,1513.48,875.41
P0ABY4,732.65,612.48,794.22,645.34
P0AB61,1518.48,519.92,1736.55,463.79
P0A9W6,765.54,466.47,896.77,575.54
P0ABZ4,635.34,713.95,969.24,730.72
P0A790,444.60,352.85,393.17,662.34
P0AB98,570.47,372.21,771.45,746.32
P0AET2,65.44,124.61,34.58,287.70
P69054,1235.55,353.35,2215.87,1653.50
P0AC92,1362.74,425.16,2006.03,592.28
P64479,32.31,118.39,10.48,141.52
P09996,382.44,367.84,456.38,520.54
P0AA57,369.67,258.51,390.94,271.39
P0A9I3,244.77,417.76,180.24,325.94
Q46948,283.73,297.00,208.97,190.88
P0AFM9,144.87,230.67,178.55,245.46
P0A8E5,617.36,279.97,452.35,265.44
P64624,281.35,208.92,234.23,277.57
